instance,generators,cont_params,cost,penalty,job_ind,total_jobs,optimized_bitstrings,total_inner,max_inner,error,history
10,,,,,,,,,,Timeout after 5400.0s,
11,,,,,,,,,,Timeout after 5400.0s,
12,,,,,,,,,,Timeout after 5400.0s,
13,101111111111,"[3.034814196965826, 0.0, 0.8448360754919576, 0.6443745837059492, 0.721269689218277, 1.7298282994092093, 0.5191635766984796, 0.7614483362130905, 1.4727479962974843, 0.31672488903238794, 0.8388432775223248, 1.6687637933897732, 0.2685877273378787, 0.0, 0.0751692707908694, 0.0532663647999614, 0.0014875299141111926, 0.10484607252627505, 0.0180270632261127, 0.08122736395869745, 0.07958125498136259, 1.7774506319754972e-09, 1.7649565714359701e-09, 0.2192169620650573, 1.3027736751776253, 1.3054235856668146, 1.3194513424793928, 1.3169800576036448, 1.3171622082636645, 1.3166977236849102, 1.3175013873240435, 1.3194228885179184, 1.3158325166419873, 1.3172695354985569, 1.292263985684622, 1.319076497275529, 0.0, 0.005004955649532002, 0.03376388158391385, 0.026822275566629656, 0.0273266405412623, 0.026639976362572936, 0.027967087236138787, 0.03379105328118563, 0.024293641455363064, 0.02741962987216684, -0.013826251632734276, 0.0330984116031076]",60.7439889798229,0.0,,,,,,Timeout after 5400.0s,"[{""time"": 966.3293603141792, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""101111111111"", ""params"": [3.034814196965826, 0.0, 0.8448360754919576, 0.6443745837059492, 0.721269689218277, 1.7298282994092093, 0.5191635766984796, 0.7614483362130905, 1.4727479962974843, 0.31672488903238794, 0.8388432775223248, 1.6687637933897732, 0.2685877273378787, 0.0, 0.0751692707908694, 0.0532663647999614, 0.0014875299141111926, 0.10484607252627505, 0.0180270632261127, 0.08122736395869745, 0.07958125498136259, 1.7774506319754972e-09, 1.7649565714359701e-09, 0.2192169620650573, 1.3027736751776253, 1.3054235856668146, 1.3194513424793928, 1.3169800576036448, 1.3171622082636645, 1.3166977236849102, 1.3175013873240435, 1.3194228885179184, 1.3158325166419873, 1.3172695354985569, 1.292263985684622, 1.319076497275529, 0.0, 0.005004955649532002, 0.03376388158391385, 0.026822275566629656, 0.0273266405412623, 0.026639976362572936, 0.027967087236138787, 0.03379105328118563, 0.024293641455363064, 0.02741962987216684, -0.013826251632734276, 0.0330984116031076], ""fun"": 60.7439889798229, ""penalty"": 0, ""total"": 60.7439889798229, ""extra"": {}}}]"
14,,,,,,,,,,Timeout after 5400.0s,
15,,,,,,,,,,Timeout after 5400.0s,
16,111101100110,"[0.285004864748811, 0.32772398436377226, 4.061129610574615, 0.6247986712915675, 0.0, 2.0536448964861793, 0.49144421740972516, 0.0, 0.0, 3.8290112710930657, 2.201890981359353, 0.0, 0.0035959611332428178, 0.032750647808202235, 0.37203032317103335, 0.03766190940938628, 0.0, 0.08536664592927923, 0.017930189891135803, 0.0, 0.0, 0.08503703861243228, 0.10020004177126819, 0.0, 1.9118552263757231, 1.9059346894148463, 1.8941228339169467, 1.9110259168611126, 1.9217344930676195, 1.9062082653577865, 1.9057236802940756, 1.9159377312363388, 1.9127255853797858, 1.894425403388824, 1.9046823298715747, 1.918764189372897, 0.0, -0.012327893328822975, -0.0201957454238046, 0.0001108878806328453, 0.013036606154861801, -0.012676275111826188, -0.01313570777885106, 0.005284234600186764, 0.00172436648485558, -0.018786970038875483, -0.014668831541256368, 0.008732701556176656]",152.6548899356471,0.0,,,,,,Timeout after 5400.0s,"[{""time"": 0.716561839915812, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111101100110"", ""params"": [0.285004864748811, 0.32772398436377226, 4.061129610574615, 0.6247986712915675, 0.0, 2.0536448964861793, 0.49144421740972516, 0.0, 0.0, 3.8290112710930657, 2.201890981359353, 0.0, 0.0035959611332428178, 0.032750647808202235, 0.37203032317103335, 0.03766190940938628, 0.0, 0.08536664592927923, 0.017930189891135803, 0.0, 0.0, 0.08503703861243228, 0.10020004177126819, 0.0, 1.9118552263757231, 1.9059346894148463, 1.8941228339169467, 1.9110259168611126, 1.9217344930676195, 1.9062082653577865, 1.9057236802940756, 1.9159377312363388, 1.9127255853797858, 1.894425403388824, 1.9046823298715747, 1.918764189372897, 0.0, -0.012327893328822975, -0.0201957454238046, 0.0001108878806328453, 0.013036606154861801, -0.012676275111826188, -0.01313570777885106, 0.005284234600186764, 0.00172436648485558, -0.018786970038875483, -0.014668831541256368, 0.008732701556176656], ""fun"": 152.6548899356471, ""penalty"": 0, ""total"": 152.6548899356471, ""extra"": {}}}]"
17,,,,,,,,,,Timeout after 5400.0s,
18,,,,,,,,,,Timeout after 5400.0s,
19,,,,,,,,,,Timeout after 5400.0s,
20,,,,,,,,,,Timeout after 5400.0s,
21,,,,,,,,,,Timeout after 5400.0s,
22,,,,,,,,,,Timeout after 5400.0s,
23,,,,,,,,,,Timeout after 5400.0s,
24,,,,,,,,,,Timeout after 5400.0s,
25,,,,,,,,,,Timeout after 5400.0s,
26,,,,,,,,,,Timeout after 5400.0s,
27,,,,,,,,,,Timeout after 5400.0s,
28,,,,,,,,,,Timeout after 5400.0s,
29,,,,,,,,,,Timeout after 5400.0s,
30,,,,,,,,,,Timeout after 5400.0s,
31,,,,,,,,,,Timeout after 5400.0s,
32,,,,,,,,,,Timeout after 5400.0s,
33,,,,,,,,,,Timeout after 5400.0s,
34,,,,,,,,,,Timeout after 5400.0s,
35,,,,,,,,,,Timeout after 5400.0s,
36,,,,,,,,,,Timeout after 5400.0s,
37,,,,,,,,,,Timeout after 5400.0s,
38,,,,,,,,,,Timeout after 5400.0s,
39,111110111001,"[1.0905709428436559, 0.9110363221406889, 0.9882659366657527, 4.176403902763546, 2.1873406983164156, 0.0, 0.03758141812176348, 0.9176737029117693, 0.2507421983166407, 0.0, 0.0, 0.4080233880950067, 0.08512142051294831, 0.03526552113756364, 0.05693732604892788, 0.2210903961969027, 0.13671365695217472, 0.0, 0.0008324121747802995, 0.08590522919835834, 0.02365934001870322, 0.0, 0.0, 0.004408675565497125, 1.4356832476966461, 1.4362302852222757, 1.4422406152137783, 1.440078952215138, 1.4102379129589793, 1.436180137721182, 1.4354001848736142, 1.4362814681346863, 1.420219219419334, 1.4106900356567391, 1.4104716744185601, 1.4204580145191816, 0.0, 0.0008537893393525304, 0.00909269431121585, 0.004754104547185544, -0.04625598820338376, 0.0006205486856579037, -0.0012016532700450915, 0.0007889354777728852, -0.03167298105384572, -0.04540222732297275, -0.045797982538216715, -0.031295406592707894]",55.49356316540117,0.0,,,,,,Timeout after 5400.0s,"[{""time"": 0.20926055498421192, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111111111111"", ""params"": [0.7332711822500891, 0.609142150014623, 0.6752151597420436, 3.429482829087216, 1.2749108531972628, 1.533478697547034, 0.026976498123086372, 0.6275815172738691, 0.18317513813588765, 0.5560729677092251, 1.0116495691666965, 0.2817708212719419, 0.041746878840682226, 0.017492521431705522, 0.02810299589291163, 0.21817709123117696, 0.06647068529603269, 0.05176584077712667, 0.00041612684605321474, 0.04210634060318479, 0.011765551445920966, 0.03739318843400363, 0.04528946386138488, 0.00220211183656879, 2.6001868209438284, 2.600358554733616, 2.598757510197366, 2.5978426781264448, 2.5867457515202417, 2.600333862387499, 2.6001086126800788, 2.6003877783387064, 2.592133555726629, 2.5869920668876523, 2.586873108958958, 2.5922627916635466, 0.0, 0.0001527461086614921, -0.0012662944666291518, -0.0022328997527245337, -0.01375584951832167, 9.67789073195053e-05, -0.00018822051872298312, 0.00014510214826376006, -0.009400168316177654, -0.013502037487271959, -0.013619704198681507, -0.009286806547134454], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 41.32170440815389, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111110111001"", ""params"": [1.0905709428436559, 0.9110363221406889, 0.9882659366657527, 4.176403902763546, 2.1873406983164156, 0.0, 0.03758141812176348, 0.9176737029117693, 0.2507421983166407, 0.0, 0.0, 0.4080233880950067, 0.08512142051294831, 0.03526552113756364, 0.05693732604892788, 0.2210903961969027, 0.13671365695217472, 0.0, 0.0008324121747802995, 0.08590522919835834, 0.02365934001870322, 0.0, 0.0, 0.004408675565497125, 1.4356832476966461, 1.4362302852222757, 1.4422406152137783, 1.440078952215138, 1.4102379129589793, 1.436180137721182, 1.4354001848736142, 1.4362814681346863, 1.420219219419334, 1.4106900356567391, 1.4104716744185601, 1.4204580145191816, 0.0, 0.0008537893393525304, 0.00909269431121585, 0.004754104547185544, -0.04625598820338376, 0.0006205486856579037, -0.0012016532700450915, 0.0007889354777728852, -0.03167298105384572, -0.04540222732297275, -0.045797982538216715, -0.031295406592707894], ""fun"": 55.49356316540117, ""penalty"": 0, ""total"": 55.49356316540117, ""extra"": {}}}]"
40,,,,,,,,,,Timeout after 5400.0s,
41,,,,,,,,,,Timeout after 5400.0s,
42,,,,,,,,,,Timeout after 5400.0s,
43,,,,,,,,,,Timeout after 5400.0s,
44,,,,,,,,,,Timeout after 5400.0s,
45,,,,,,,,,,Timeout after 5400.0s,
46,,,,,,,,,,Timeout after 5400.0s,
47,,,,,,,,,,Timeout after 5400.0s,
48,,,,,,,,,,Timeout after 5400.0s,
49,,,,,,,,,,Timeout after 5400.0s,
50,,,,,,,,,,Timeout after 5400.0s,
51,,,,,,,,,,Timeout after 5400.0s,
52,,,,,,,,,,Timeout after 5400.0s,
53,,,,,,,,,,Timeout after 5400.0s,
54,,,,,,,,,,Timeout after 5400.0s,
55,,,,,,,,,,Timeout after 5400.0s,
56,,,,,,,,,,Timeout after 5400.0s,
57,,,,,,,,,,Timeout after 5400.0s,
58,,,,,,,,,,Timeout after 5400.0s,
59,,,,,,,,,,Timeout after 5400.0s,
60,,,,,,,,,,Timeout after 5400.0s,
61,,,,,,,,,,Timeout after 5400.0s,
62,,,,,,,,,,Timeout after 5400.0s,
63,,,,,,,,,,Timeout after 5400.0s,
64,,,,,,,,,,Timeout after 5400.0s,
65,,,,,,,,,,Timeout after 5400.0s,
66,,,,,,,,,,Timeout after 5400.0s,
67,,,,,,,,,,Timeout after 5400.0s,
68,,,,,,,,,,Timeout after 5400.0s,
69,,,,,,,,,,Timeout after 5400.0s,
70,,,,,,,,,,Timeout after 5400.0s,
71,,,,,,,,,,Timeout after 5400.0s,
72,,,,,,,,,,Timeout after 5400.0s,
73,,,,,,,,,,Timeout after 5400.0s,
74,,,,,,,,,,Timeout after 5400.0s,
75,,,,,,,,,,Timeout after 5400.0s,
76,,,,,,,,,,Timeout after 5400.0s,
77,,,,,,,,,,Timeout after 5400.0s,
78,,,,,,,,,,Timeout after 5400.0s,
79,,,,,,,,,,Timeout after 5400.0s,
80,,,,,,,,,,Timeout after 5400.0s,
81,,,,,,,,,,Timeout after 5400.0s,
82,,,,,,,,,,Timeout after 5400.0s,
83,,,,,,,,,,Timeout after 5400.0s,
84,,,,,,,,,,Timeout after 5400.0s,
85,,,,,,,,,,Timeout after 5400.0s,
86,,,,,,,,,,Timeout after 5400.0s,
87,111111101111,"[1.908192326150578, 0.4627222623724952, 1.112017932991867, 4.562171487102641, 2.466632311735728, 1.40392919038176, 1.4765923546829698, 0.0, 1.1958780562196818, 0.39188898226045815, 0.22459062463564106, 0.5484313459979353, 0.15651815306296923, -3.045632991164039e-11, 2.1742621670323818e-10, 0.43899496606598726, 0.03410475545771829, 0.08401493528875477, 4.745552726631719e-10, 0.0, 0.21720753998842166, 0.001797816284464013, 0.01204819146837757, 0.03963374198923871, 1.565057084718386, 1.5785073850624376, 1.580597060904533, 1.5626654792678805, 1.5780026651309331, 1.578440032604294, 1.5779277134480456, 1.5779367639004205, 1.5703204243300617, 1.5784866825984298, 1.5785588664715107, 1.5784424518546045, 0.0, 0.017970283515264134, 0.020665220850166328, -0.0016781377171388664, 0.01711958999530821, 0.01761885409929586, 0.016942589756599104, 0.017030106159721257, 0.007559734622971716, 0.01792375515245045, 0.01791197527385062, 0.017789125272962378]",87.94587552072149,0.0,,,,,,Timeout after 5400.0s,"[{""time"": 0.1995056550949812, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111111111111"", ""params"": [1.2981558379961076, 0.3307909354461526, 0.7998199216895496, 5.585114481526478, 3.2445436814019284, 0.9703556440036929, 0.9854458821935059, 0.09305415186679489, 1.5891561270346282, 0.2700227161460471, 0.1567209048245713, 0.39855712486623934, 0.08755300780349869, 0.011179908493314633, 0.021490596949409052, 0.5130155048914282, 0.03517104899150907, 0.04490434834929971, 0.03798745709479502, 0.002064035782315744, 0.12531508640538194, 0.0009000817045657103, 0.006085270975224301, 0.020478208840252147, 3.7797133963038463, 3.785240813327433, 3.7859473158470855, 3.7787185738174154, 3.7850025223700827, 3.785353413976922, 3.7849722195902697, 3.784968064163962, 3.781861277487611, 3.785175250674088, 3.7852399097763434, 3.7852157492074467, 0.0, 0.003127532967881998, 0.003508812634056681, -0.0003140493984752994, 0.0029259080976400953, 0.0031975451059911924, 0.0028961848967943194, 0.0029396503417301423, 0.001272195054334197, 0.003054390293797494, 0.003101910873675537, 0.0031159063407761247], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 39.25307070999406, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111110111001"", ""params"": [1.9081923261659455, 0.46272226237640374, 1.1120179330160778, 4.562171487102607, 3.6558729105450345, 0.0, 1.4765923546960027, 0.12785406323447332, 1.9002010794417064, 0.0, 0.0, 0.5484313460058284, 0.1565181535130323, -4.0958614239992206e-11, 1.6401647719296389e-10, 0.5350527584313752, 0.035211231990517136, 0.0, 3.7847219603350365e-10, 0.004115778715290707, 0.21720754031231637, 0.0, 0.0, 0.03963374207684164, 1.5650570847178, 1.578895867613877, 1.5812154034566481, 1.563046903629815, 1.5783805189539846, 1.5790592129409144, 1.5783053318141278, 1.5779367638998392, 1.570699948154916, 1.5788549259814353, 1.5789197774604984, 1.5787643702258838, 0.0, 0.01863710477758727, 0.021753291646574673, -0.0010329419249554116, 0.017756250822199, 0.018709310274142334, 0.017578787249938048, 0.017030106159733972, 0.008200444428460223, 0.018548712824764422, 0.018528101533065208, 0.01836125720984833], ""fun"": 89.73414676756033, ""penalty"": 0, ""total"": 89.73414676756033, ""extra"": {}}}, {""time"": 624.3946643050294, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111111101111"", ""params"": [1.908192326150578, 0.4627222623724952, 1.112017932991867, 4.562171487102641, 2.466632311735728, 1.40392919038176, 1.4765923546829698, 0.0, 1.1958780562196818, 0.39188898226045815, 0.22459062463564106, 0.5484313459979353, 0.15651815306296923, -3.045632991164039e-11, 2.1742621670323818e-10, 0.43899496606598726, 0.03410475545771829, 0.08401493528875477, 4.745552726631719e-10, 0.0, 0.21720753998842166, 0.001797816284464013, 0.01204819146837757, 0.03963374198923871, 1.565057084718386, 1.5785073850624376, 1.580597060904533, 1.5626654792678805, 1.5780026651309331, 1.578440032604294, 1.5779277134480456, 1.5779367639004205, 1.5703204243300617, 1.5784866825984298, 1.5785588664715107, 1.5784424518546045, 0.0, 0.017970283515264134, 0.020665220850166328, -0.0016781377171388664, 0.01711958999530821, 0.01761885409929586, 0.016942589756599104, 0.017030106159721257, 0.007559734622971716, 0.01792375515245045, 0.01791197527385062, 0.017789125272962378], ""fun"": 87.94587552072149, ""penalty"": 0, ""total"": 87.94587552072149, ""extra"": {}}}]"
88,,,,,,,,,,Timeout after 5400.0s,
89,,,,,,,,,,Timeout after 5400.0s,
90,,,,,,,,,,Timeout after 5400.0s,
91,,,,,,,,,,Timeout after 5400.0s,
92,,,,,,,,,,Timeout after 5400.0s,
93,,,,,,,,,,Timeout after 5400.0s,
94,,,,,,,,,,Timeout after 5400.0s,
95,,,,,,,,,,Timeout after 5400.0s,
96,,,,,,,,,,Timeout after 5400.0s,
97,,,,,,,,,,Timeout after 5400.0s,
98,,,,,,,,,,Timeout after 5400.0s,
99,,,,,,,,,,Timeout after 5400.0s,
100,,,,,,,,,,Timeout after 5400.0s,
101,,,,,,,,,,Timeout after 5400.0s,
102,,,,,,,,,,Timeout after 5400.0s,
103,,,,,,,,,,Timeout after 5400.0s,
104,,,,,,,,,,Timeout after 5400.0s,
105,,,,,,,,,,Timeout after 5400.0s,
106,,,,,,,,,,Timeout after 5400.0s,
107,,,,,,,,,,Timeout after 5400.0s,
108,,,,,,,,,,Timeout after 5400.0s,
109,,,,,,,,,,Timeout after 5400.0s,
110,,,,,,,,,,Timeout after 5400.0s,
111,,,,,,,,,,Timeout after 5400.0s,
112,,,,,,,,,,Timeout after 5400.0s,
113,,,,,,,,,,Timeout after 5400.0s,
114,,,,,,,,,,Timeout after 5400.0s,
115,,,,,,,,,,Timeout after 5400.0s,
116,,,,,,,,,,Timeout after 5400.0s,
117,,,,,,,,,,Timeout after 5400.0s,
118,,,,,,,,,,Timeout after 5400.0s,
119,,,,,,,,,,Timeout after 5400.0s,
