instance,generators,cont_params,cost,penalty,job_ind,total_jobs,optimized_bitstrings,total_inner,max_inner,error,history
0,,,,,,,,,,Timeout after 5400.0s,
1,,,,,,,,,,Timeout after 5400.0s,
2,,,,,,,,,,Timeout after 5400.0s,
3,111010111101,"[0.7695599066594168, 0.9024306859600778, 1.0102541759138712, 0.0, 0.8662107168750456, 0.0, 0.35725117952441837, 0.19198229122610433, 1.1419330024077785, 2.7336138366701097, 0.0, 0.931596146953194, 6.046722669820259e-10, 0.023384178534660665, 0.080709815558288, 0.0, 3.934867457957431e-09, 0.0, 0.009731108306804136, 0.0003471712917132605, 0.07338014674626332, 0.17998291691236776, 0.0, 0.07170047183415379, 1.235448208600792, 1.2343465760542227, 1.2346313391454165, 1.2317369107545668, 1.235303377303458, 1.2342418078430004, 1.2339976447026955, 1.2313856634317275, 1.23169295311599, 1.2314099405388859, 1.2342077764566064, 1.2348761263321049, 0.0, -0.001997615498147688, -0.006785237792721413, -0.016405167308059992, -0.0005419597899576698, -0.002237982721310284, -0.007107417555134137, -0.01737138313038984, -0.01647369399877514, -0.017277141830253567, -0.007602545561917669, -0.005834132463363225]",27.51099261202563,0.0,,,,,,Timeout after 5400.0s,"[{""time"": 0.14219074905849993, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111111111111"", ""params"": [0.7333126881104892, 0.7090989688603319, 0.7048965139705967, 0.7371878951453206, 0.9951147420084806, 1.150391494091153, 0.2504717388050023, 0.13033837707327672, 0.8007904062384049, 2.0877602840650047, 0.04962721881042767, 0.551884544544576, 0.009377961379776402, 0.05077098578096318, 0.03944632217635658, 0.05001555769077374, 0.08272243478963956, 0.011083935900365435, 0.004860574021079253, 0.0003440753700385396, 0.047078920436064875, 0.08887323360635828, 0.000993220999484017, 0.036904167096126414, 3.321879292373531, 3.320901839295936, 3.3190409232499984, 3.3177185423950983, 3.321967374736525, 3.3208258576045857, 3.319342465792316, 3.317567128123667, 3.317678923850523, 3.3175769123076257, 3.3190244227882326, 3.319131801244503, 0.0, -0.0005448372548160594, -0.002944729768503288, -0.004538072010041911, 3.7648966486493e-05, -0.0005929073904156694, -0.0025569823339424173, -0.004686114209915268, -0.00456582741666022, -0.004672038176432194, -0.0029635695758154093, -0.0028131006004062445], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 348.1784363628831, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111110111001"", ""params"": [1.1824760687269293, 1.2903528175960024, 1.0102541759138917, 0.9906782772313976, 1.8336111422057286, 0.0, 0.3572511795304819, 0.19198229122612318, 1.1419330024077992, 0.0, 0.0, 0.9315961469617441, 7.667344012482793e-10, 0.10572912495677894, 0.08070981558370623, 0.06882014784832559, 0.12740971274025892, 0.0, 0.009731111485583904, 0.00034751429866878295, 0.07412614078531703, 0.0, 0.0, 0.07170047183829263, 1.2449963719354036, 1.2419014096513292, 1.2346774820263366, 1.2317418082842844, 1.2449026571233768, 1.2416162592688953, 1.2355606285201959, 1.231390814892557, 1.2316981602574786, 1.2314150736295264, 1.2342092081476193, 1.2349222600229988, 0.0, -0.004597600511515413, -0.02898427702525248, -0.03934565287466888, -0.000787587520814705, -0.005082133299083951, -0.025890087808805536, -0.040311933662893824, -0.03941425763846776, -0.040217690956498194, -0.03054241425977495, -0.028033242770673105], ""fun"": 31.325720585669703, ""penalty"": 0, ""total"": 31.325720585669703, ""extra"": {}}}, {""time"": 349.04458410292864, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111111111111"", ""params"": [0.5764655382321365, 0.5397796556715883, 1.0102541758328636, 0.568537031077949, 0.8096991778856967, 1.1251744194844766, 0.3572511794281675, 0.19198229114509735, 1.1419330023267709, 1.5910261431770936, 0.069010738651288, 0.9315961468288068, 6.796039482920257e-10, 0.048944844910507546, 0.0807098154704961, 3.948241112649139e-09, 3.948241176089223e-09, 3.948240583363778e-09, 0.009731108271998, 0.0003471865011881319, 0.07350440897133746, 0.17998291683168133, 0.0018460315608436254, 0.07170047175378881, 1.2384551772446157, 1.2365115341688675, 1.234691973727468, 1.231737717679955, 1.2387152986018617, 1.2363643113820608, 1.2344713157159652, 1.231386512638501, 1.2316938115966953, 1.2314107866868798, 1.2342080062792766, 1.2349367488380398, 0.0, -0.003273383450717312, -0.015165513712893812, -0.025317394815780055, 0.00048051722830995294, -0.0035450588863824403, -0.01434089621154972, -0.026283621469610448, -0.02538593450805151, -0.026189379933987917, -0.016514670226940514, -0.01421450177852031], ""fun"": 29.712607949824058, ""penalty"": 0, ""total"": 29.712607949824058, ""extra"": {}}}, {""time"": 4710.27305891295, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""111010111101"", ""params"": [0.7695599066594168, 0.9024306859600778, 1.0102541759138712, 0.0, 0.8662107168750456, 0.0, 0.35725117952441837, 0.19198229122610433, 1.1419330024077785, 2.7336138366701097, 0.0, 0.931596146953194, 6.046722669820259e-10, 0.023384178534660665, 0.080709815558288, 0.0, 3.934867457957431e-09, 0.0, 0.009731108306804136, 0.0003471712917132605, 0.07338014674626332, 0.17998291691236776, 0.0, 0.07170047183415379, 1.235448208600792, 1.2343465760542227, 1.2346313391454165, 1.2317369107545668, 1.235303377303458, 1.2342418078430004, 1.2339976447026955, 1.2313856634317275, 1.23169295311599, 1.2314099405388859, 1.2342077764566064, 1.2348761263321049, 0.0, -0.001997615498147688, -0.006785237792721413, -0.016405167308059992, -0.0005419597899576698, -0.002237982721310284, -0.007107417555134137, -0.01737138313038984, -0.01647369399877514, -0.017277141830253567, -0.007602545561917669, -0.005834132463363225], ""fun"": 27.51099261202563, ""penalty"": 0, ""total"": 27.51099261202563, ""extra"": {}}}]"
4,,,,,,,,,,Timeout after 5400.0s,
5,,,,,,,,,,Timeout after 5400.0s,
6,,,,,,,,,,Timeout after 5400.0s,
7,,,,,,,,,,Timeout after 5400.0s,
8,,,,,,,,,,Timeout after 5400.0s,
9,,,,,,,,,,Timeout after 5400.0s,
