instance,generator_assignments,continuous_parameters,cost,penalty,job_ind,total_jobs,avg_inner,optimized_bitstrings,history,error
19,,,,,,,,,,Timeout after 1800s
20,,,,,,,,,,Timeout after 1800s
21,,,,,,,,,,Timeout after 1800s
22,,,,,,,,,,Timeout after 1800s
23,,,,,,,,,,Timeout after 1800s
24,,,,,,,,,,Timeout after 1800s
25,,,,,,,,,,Timeout after 1800s
26,,,,,,,,,,Timeout after 1800s
27,,,,,,,,,,Timeout after 1800s
28,00000010100,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.166590626899156, 0.0, 3.1637314668566523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16954936363516152, 0.0, 0.2055640008347459, 0.0, 0.0, 1.3964928767271274, 1.397218334037559, 1.3959228338133052, 1.3909209459691714, 1.3977510238402817, 1.3996204144678746, 1.3908967422327376, 1.3969408713035028, 1.3892857548617268, 1.3997120956232685, 1.3993113442278298, 0.0, 0.006865960858181054, 0.00420752945752193, -0.0022691668574799386, 0.007452245356347708, 0.010641561937444309, -0.002323429414791669, 0.0066662372814020165, -0.005436562673247677, 0.011592207404932615, 0.010711855490255658]",52.66005210604569,0.0,,,,,"[{""time"": 1812.0210610690992, ""job_ind"": null, ""result"": {""generator_statuses"": ""00000010100"", ""params"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.166590626899156, 0.0, 3.1637314668566523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16954936363516152, 0.0, 0.2055640008347459, 0.0, 0.0, 1.3964928767271274, 1.397218334037559, 1.3959228338133052, 1.3909209459691714, 1.3977510238402817, 1.3996204144678746, 1.3908967422327376, 1.3969408713035028, 1.3892857548617268, 1.3997120956232685, 1.3993113442278298, 0.0, 0.006865960858181054, 0.00420752945752193, -0.0022691668574799386, 0.007452245356347708, 0.010641561937444309, -0.002323429414791669, 0.0066662372814020165, -0.005436562673247677, 0.011592207404932615, 0.010711855490255658], ""fun"": 52.66005210604569, ""penalty"": 0, ""total"": 52.66005210604569, ""extra"": {}}}]",Timeout after 1800s
29,,,,,,,,,,Timeout after 1800s
30,,,,,,,,,,Timeout after 1800s
31,,,,,,,,,,Timeout after 1800s
32,,,,,,,,,,Timeout after 1800s
33,,,,,,,,,,Timeout after 1800s
34,,,,,,,,,,Timeout after 1800s
35,,,,,,,,,,Timeout after 1800s
36,,,,,,,,,,Timeout after 1800s
37,,,,,,,,,,Timeout after 1800s
38,,,,,,,,,,Timeout after 1800s
39,,,,,,,,,,Timeout after 1800s
40,,,,,,,,,,Timeout after 1800s
41,,,,,,,,,,Timeout after 1800s
