instance,generators,cont_params,cost,penalty,job_ind,total_jobs,optimized_bitstrings,total_inner,max_inner,error,history
10,,,,,,,,,,Timeout after 3240.0s,
11,,,,,,,,,,Timeout after 3240.0s,
12,,,,,,,,,,Timeout after 3240.0s,
13,,,,,,,,,,Timeout after 3240.0s,
14,,,,,,,,,,Timeout after 3240.0s,
15,,,,,,,,,,Timeout after 3240.0s,
16,,,,,,,,,,Timeout after 3240.0s,
17,,,,,,,,,,Timeout after 3240.0s,
18,,,,,,,,,,Timeout after 3240.0s,
19,,,,,,,,,,Timeout after 3240.0s,
20,,,,,,,,,,Timeout after 3240.0s,
21,,,,,,,,,,Timeout after 3240.0s,
22,1010001100,"[3.4705110913688952, 0.0, 1.5180238837325617, 0.0, 0.0, 0.0, 2.459205127102896, 3.2765562471202014, 0.0, 0.0, 0.17794704692629632, 0.0, 5.0636406660334605e-11, 0.0, 0.0, 0.0, 2.208309096636725e-11, 0.23626389886607216, 0.0, 0.0, 1.7690011217248767, 1.762891046406911, 1.769391794697835, 1.767513316640866, 1.768240258142159, 1.7681241305433049, 1.7697335126735567, 1.7728138947691907, 1.7680529504447349, 1.7675879280605684, 0.0, -0.009799285431185899, 0.0010427253195176172, -0.002049197120370375, -0.0013163985946634134, -0.0004889724505409141, 0.0018392684701330811, 0.006051034103902398, -0.0018232676964186666, -0.002339309713640744]",89.82834035815513,0.0,,,,,,Timeout after 3240.0s,"[{""time"": 1973.0782260100823, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1010001100"", ""params"": [3.4705110913688952, 0.0, 1.5180238837325617, 0.0, 0.0, 0.0, 2.459205127102896, 3.2765562471202014, 0.0, 0.0, 0.17794704692629632, 0.0, 5.0636406660334605e-11, 0.0, 0.0, 0.0, 2.208309096636725e-11, 0.23626389886607216, 0.0, 0.0, 1.7690011217248767, 1.762891046406911, 1.769391794697835, 1.767513316640866, 1.768240258142159, 1.7681241305433049, 1.7697335126735567, 1.7728138947691907, 1.7680529504447349, 1.7675879280605684, 0.0, -0.009799285431185899, 0.0010427253195176172, -0.002049197120370375, -0.0013163985946634134, -0.0004889724505409141, 0.0018392684701330811, 0.006051034103902398, -0.0018232676964186666, -0.002339309713640744], ""fun"": 89.82834035815513, ""penalty"": 0, ""total"": 89.82834035815513, ""extra"": {}}}]"
23,,,,,,,,,,Timeout after 3240.0s,
24,,,,,,,,,,Timeout after 3240.0s,
25,,,,,,,,,,Timeout after 3240.0s,
26,,,,,,,,,,Timeout after 3240.0s,
27,,,,,,,,,,Timeout after 3240.0s,
28,,,,,,,,,,Timeout after 3240.0s,
29,,,,,,,,,,Timeout after 3240.0s,
30,,,,,,,,,,Timeout after 3240.0s,
31,0011100001,"[0.0, 0.0, 4.233022949904469, 2.1772996752272284, 0.42301557601702555, 0.0, 0.0, 0.0, 0.0, 2.842017009562505, 0.0, 0.0, 0.12735555687335146, 0.060421092812971436, 0.012205506838137894, 0.0, 0.0, 0.0, 0.0, 0.15426254476211018, 1.60093183184098, 1.5959871350360553, 1.600105277829886, 1.6015318483687833, 1.5997954411619524, 1.6000314947864986, 1.5965931812950402, 1.60008152567334, 1.5959915312461275, 1.6001301521276499, 0.0, -0.006647298596895072, -0.0014478540437483285, 0.0007595406137256239, -0.0030385075809899937, -0.0027641140929828985, -0.005473520197495713, -0.0025578145037171668, -0.006641470420530044, -0.002493401119970712]",68.83326464787095,0.0,,,,,,Timeout after 3240.0s,"[{""time"": 237.422644962091, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""0000000000"", ""params"": [8.353568057017787e-11, 3.98553857022387e-11, 4.230017386794087, 2.1746756093898387, 0.42231707212118236, 6.801835736301036e-12, 1.0933239723993499e-11, 2.642291340217689e-10, 1.970867803612767e-11, 2.8483021697074267, 4.1002536091026235e-12, 1.6636896186254844e-12, 0.14228725584939683, 0.05024005445631375, 0.009941999850386178, 1.6117239306950322e-13, 2.413232652451124e-13, 9.50987029344579e-13, 1.0117321050028394e-12, 0.151668207926378, 1.6033694843232325, 1.5984324419333569, 1.6025441746443685, 1.6039685622604472, 1.6022157136018202, 1.6024526018476624, 1.5990375577003924, 1.602503019189474, 1.5984368314178035, 1.6025517154126177, 0.0, -0.006627036856867139, -0.0014434530927564626, 0.0007572338187852656, -0.0029980883604426396, -0.0027246272611630463, -0.005456845680308767, -0.0025189247504536385, -0.006621226498920007, -0.0024546477415823367], ""fun"": 69.20501925647883, ""penalty"": 0, ""total"": 69.20501925647883, ""extra"": {}}}, {""time"": 237.8610330519732, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""0011100001"", ""params"": [0.0, 0.0, 4.233022949904469, 2.1772996752272284, 0.42301557601702555, 0.0, 0.0, 0.0, 0.0, 2.842017009562505, 0.0, 0.0, 0.12735555687335146, 0.060421092812971436, 0.012205506838137894, 0.0, 0.0, 0.0, 0.0, 0.15426254476211018, 1.60093183184098, 1.5959871350360553, 1.600105277829886, 1.6015318483687833, 1.5997954411619524, 1.6000314947864986, 1.5965931812950402, 1.60008152567334, 1.5959915312461275, 1.6001301521276499, 0.0, -0.006647298596895072, -0.0014478540437483285, 0.0007595406137256239, -0.0030385075809899937, -0.0027641140929828985, -0.005473520197495713, -0.0025578145037171668, -0.006641470420530044, -0.002493401119970712], ""fun"": 68.83326464787095, ""penalty"": 0, ""total"": 68.83326464787095, ""extra"": {}}}]"
32,,,,,,,,,,Timeout after 3240.0s,
33,,,,,,,,,,Timeout after 3240.0s,
34,,,,,,,,,,Timeout after 3240.0s,
35,,,,,,,,,,Timeout after 3240.0s,
36,,,,,,,,,,Timeout after 3240.0s,
37,,,,,,,,,,Timeout after 3240.0s,
38,,,,,,,,,,Timeout after 3240.0s,
39,,,,,,,,,,Timeout after 3240.0s,
40,,,,,,,,,,Timeout after 3240.0s,
41,,,,,,,,,,Timeout after 3240.0s,
42,,,,,,,,,,Timeout after 3240.0s,
43,,,,,,,,,,Timeout after 3240.0s,
44,,,,,,,,,,Timeout after 3240.0s,
45,,,,,,,,,,Timeout after 3240.0s,
46,,,,,,,,,,Timeout after 3240.0s,
47,,,,,,,,,,Timeout after 3240.0s,
48,,,,,,,,,,Timeout after 3240.0s,
49,,,,,,,,,,Timeout after 3240.0s,
50,,,,,,,,,,Timeout after 3240.0s,
51,,,,,,,,,,Timeout after 3240.0s,
52,,,,,,,,,,Timeout after 3240.0s,
53,,,,,,,,,,Timeout after 3240.0s,
54,0111001001,"[0.0, 1.3272407912454458, 1.1372963063974837, 0.7304983436757109, 0.0, 0.0, 2.234605734509922, 0.0, 0.0, 1.0758070410447054, 0.0, 0.06874101996694096, 0.04212634833721546, 0.058028407503110814, 0.0, 0.0, 0.0718549464651734, 0.0, 0.0, 0.16567120437636998, 0.9999881537573743, 1.0002884842781077, 0.9989341683855567, 0.9960940730899515, 0.9993083251542314, 1.0000613648289582, 1.0065131958339766, 1.0043795740918393, 0.9991695165071945, 1.000316474210094, 0.0, 0.0021245309300422666, -0.0023094395090115247, -0.009406638081469543, -0.0010477211032608514, 0.010533893633854369, 0.030627630842431756, 0.02493064788509603, -0.001301507331192288, 0.0009689264775864158]",16.55541473465399,0.0,,,,,,Timeout after 3240.0s,"[{""time"": 671.7856170439627, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""0111001001"", ""params"": [0.0, 1.3272407912454458, 1.1372963063974837, 0.7304983436757109, 0.0, 0.0, 2.234605734509922, 0.0, 0.0, 1.0758070410447054, 0.0, 0.06874101996694096, 0.04212634833721546, 0.058028407503110814, 0.0, 0.0, 0.0718549464651734, 0.0, 0.0, 0.16567120437636998, 0.9999881537573743, 1.0002884842781077, 0.9989341683855567, 0.9960940730899515, 0.9993083251542314, 1.0000613648289582, 1.0065131958339766, 1.0043795740918393, 0.9991695165071945, 1.000316474210094, 0.0, 0.0021245309300422666, -0.0023094395090115247, -0.009406638081469543, -0.0010477211032608514, 0.010533893633854369, 0.030627630842431756, 0.02493064788509603, -0.001301507331192288, 0.0009689264775864158], ""fun"": 16.55541473465399, ""penalty"": 0, ""total"": 16.55541473465399, ""extra"": {}}}]"
55,,,,,,,,,,Timeout after 3240.0s,
56,,,,,,,,,,Timeout after 3240.0s,
57,,,,,,,,,,Timeout after 3240.0s,
58,1110111111,"[1.8947446004435904, 0.6960254333163185, 1.5279374690174243, 0.0, 1.0566922325115382, 0.9254239729316747, 0.6451521435536541, 0.587475811879242, 1.4380095510621642, 1.120654012768258, 0.07995435809684802, 0.037583169906664195, 0.006017058443901626, 0.0, 0.006028629691383464, 0.005670236521846244, 5.228856146636233e-10, 0.03865892010586067, 0.16142230386364972, 0.011859873852137638, 2.3766380973595327, 2.3766053444909474, 2.3764703059915324, 2.390052160655975, 2.3898495745626045, 2.389908801721982, 2.3808317997514963, 2.389817979333299, 2.3766078135184734, 2.3824470931801676, 0.0, -3.828469586911879e-05, -0.0002016593255518804, 0.018385050001124698, 0.018082940844714877, 0.018138735098423855, 0.0073365090802500485, 0.01804646214975933, -5.632569358504969e-05, 0.012054281387675557]",218.492776093785,0.0,,,,,,Timeout after 3240.0s,"[{""time"": 0.1104760889429599, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111111111"", ""params"": [1.4530497038296635, 0.5621257834152577, 2.453505970233692, 0.08715258704939563, 1.2446389663415525, 0.7442841277902369, 0.5106848049069291, 0.4676011320354088, 1.481162020545753, 0.8730131913517827, 0.03215645876183336, 0.015820691750188014, 0.07043049960860079, 0.00488326622351186, 0.05076074406191833, 0.016725565501067737, 0.019851107040606233, 0.016209716475408118, 0.06446503944585676, 0.005387167485288302, 5.417973500247692, 5.417959133712678, 5.4179642656388705, 5.425365542930313, 5.42523191887411, 5.425253905294148, 5.420401878918526, 5.425220393050911, 5.41796634470691, 5.421296959659334, 0.0, -7.3666955857063786e-06, -1.1685947127609841e-05, 0.0042781007358558025, 0.004198779674362762, 0.004206905920665314, 0.001741667098960972, 0.004194144034002243, -6.898886252281064e-06, 0.00280993067979813], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 30.325005904072896, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1110111111"", ""params"": [1.8947446004435904, 0.6960254333163185, 1.5279374690174243, 0.0, 1.0566922325115382, 0.9254239729316747, 0.6451521435536541, 0.587475811879242, 1.4380095510621642, 1.120654012768258, 0.07995435809684802, 0.037583169906664195, 0.006017058443901626, 0.0, 0.006028629691383464, 0.005670236521846244, 5.228856146636233e-10, 0.03865892010586067, 0.16142230386364972, 0.011859873852137638, 2.3766380973595327, 2.3766053444909474, 2.3764703059915324, 2.390052160655975, 2.3898495745626045, 2.389908801721982, 2.3808317997514963, 2.389817979333299, 2.3766078135184734, 2.3824470931801676, 0.0, -3.828469586911879e-05, -0.0002016593255518804, 0.018385050001124698, 0.018082940844714877, 0.018138735098423855, 0.0073365090802500485, 0.01804646214975933, -5.632569358504969e-05, 0.012054281387675557], ""fun"": 218.492776093785, ""penalty"": 0, ""total"": 218.492776093785, ""extra"": {}}}]"
59,,,,,,,,,,Timeout after 3240.0s,
60,,,,,,,,,,Timeout after 3240.0s,
61,,,,,,,,,,Timeout after 3240.0s,
62,,,,,,,,,,Timeout after 3240.0s,
63,,,,,,,,,,Timeout after 3240.0s,
64,,,,,,,,,,Timeout after 3240.0s,
65,,,,,,,,,,Timeout after 3240.0s,
66,,,,,,,,,,Timeout after 3240.0s,
67,,,,,,,,,,Timeout after 3240.0s,
68,,,,,,,,,,Timeout after 3240.0s,
69,,,,,,,,,,Timeout after 3240.0s,
70,,,,,,,,,,Timeout after 3240.0s,
71,,,,,,,,,,Timeout after 3240.0s,
72,1101011101,"[0.3236740290276652, 1.4091984167786566, 0.0, 1.4167326825248663, 0.0, 2.1956106003964178, 1.2035591564344772, 1.4716393578934692, 0.0, 0.35321952628538333, 0.008069657737282087, 0.0001937464692266183, 0.0, 0.04622351916019417, 0.0, 0.0996764852879144, 0.04875206647974716, 0.05457751521435743, 0.0, 0.03465269755676641, 1.0002044736867621, 1.0003815716746745, 1.0003061542587415, 1.0001806534933555, 0.9997741812148742, 1.0005297872725931, 0.9988574572752527, 1.0002011203151044, 1.0001671543464066, 1.0003520146616314, 0.0, 0.00040530427116696914, 0.00017351435005589456, -0.00017170337678642345, -0.0024921980279585137, 0.0004656795312486643, -0.005227103426832982, -6.112898944153966e-05, -0.00016033235835839025, 0.00021398933544549098]",21.94872832941256,0.0,,,,,,Timeout after 3240.0s,"[{""time"": 0.23084909794852138, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111111111"", ""params"": [0.19854593536039256, 0.8157788365494514, 0.19820758037596922, 0.7636721344285508, 1.7776241800131423, 1.150543548527153, 0.9978892909652839, 1.655077938352557, 0.5679422878796456, 0.24539624197389942, 0.003981642163111259, 9.692671371894698e-05, 0.009289016321533686, 0.049814850561982996, 0.07646939181512097, 0.041581234378865156, 0.03531014988325389, 0.03840578144586819, 0.009092070025336896, 0.016296883945467893, 4.766856597648345, 4.76696986018402, 4.766874242140291, 4.766883710773568, 4.76678949232199, 4.766940601305173, 4.766577962545237, 4.766856595271845, 4.766871368266086, 4.766893813105245, 0.0, 6.089744008536056e-05, 6.278460136364117e-06, 8.47757688467058e-06, -9.718839823650796e-05, 3.4722953557266545e-05, -0.0002269852748810224, -2.249584578699728e-06, 5.4283467946528755e-06, 1.5099893900695527e-05], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 93.21136695286259, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111011101"", ""params"": [0.32367402902735465, 1.409198416776805, 0.2963103174577794, 1.4167326824979705, 0.0, 2.0253125807754637, 1.077549457657741, 1.4716393578642573, 0.0, 0.3532195262850371, 0.008069657893912818, 0.00019375149364350843, 0.00888277340871245, 0.03701876904391217, 0.0, 0.09967657197624412, 0.0488912053736289, 0.05491027759338415, 0.0, 0.034652699224083074, 1.000197662177643, 1.0004250077220096, 1.0002924586920068, 1.0001919641245403, 0.9997740242708115, 1.000477341417056, 0.9988483048247047, 1.0001911194249937, 1.0001669974648861, 1.0003311250465823, 0.0, 0.0005773741950366898, 0.0001549908551759864, -0.00012794804427308895, -0.0024742484317495646, 0.00022134642001502193, -0.00528079157519399, -7.044942607317025e-05, -0.0001423820303273413, 0.00015970534585533802], ""fun"": 22.253891693883865, ""penalty"": 0, ""total"": 22.253891693883865, ""extra"": {}}}, {""time"": 856.6998673228081, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1101011101"", ""params"": [0.3236740290276652, 1.4091984167786566, 0.0, 1.4167326825248663, 0.0, 2.1956106003964178, 1.2035591564344772, 1.4716393578934692, 0.0, 0.35321952628538333, 0.008069657737282087, 0.0001937464692266183, 0.0, 0.04622351916019417, 0.0, 0.0996764852879144, 0.04875206647974716, 0.05457751521435743, 0.0, 0.03465269755676641, 1.0002044736867621, 1.0003815716746745, 1.0003061542587415, 1.0001806534933555, 0.9997741812148742, 1.0005297872725931, 0.9988574572752527, 1.0002011203151044, 1.0001671543464066, 1.0003520146616314, 0.0, 0.00040530427116696914, 0.00017351435005589456, -0.00017170337678642345, -0.0024921980279585137, 0.0004656795312486643, -0.005227103426832982, -6.112898944153966e-05, -0.00016033235835839025, 0.00021398933544549098], ""fun"": 21.94872832941256, ""penalty"": 0, ""total"": 21.94872832941256, ""extra"": {}}}]"
73,,,,,,,,,,Timeout after 3240.0s,
74,,,,,,,,,,Timeout after 3240.0s,
75,,,,,,,,,,Timeout after 3240.0s,
76,,,,,,,,,,Timeout after 3240.0s,
77,,,,,,,,,,Timeout after 3240.0s,
78,,,,,,,,,,Timeout after 3240.0s,
79,,,,,,,,,,Timeout after 3240.0s,
80,,,,,,,,,,Timeout after 3240.0s,
81,,,,,,,,,,Timeout after 3240.0s,
82,,,,,,,,,,Timeout after 3240.0s,
83,,,,,,,,,,Timeout after 3240.0s,
84,,,,,,,,,,Timeout after 3240.0s,
85,,,,,,,,,,Timeout after 3240.0s,
86,,,,,,,,,,Timeout after 3240.0s,
87,,,,,,,,,,Timeout after 3240.0s,
88,,,,,,,,,,Timeout after 3240.0s,
89,,,,,,,,,,Timeout after 3240.0s,
90,,,,,,,,,,Timeout after 3240.0s,
91,,,,,,,,,,Timeout after 3240.0s,
92,,,,,,,,,,Timeout after 3240.0s,
93,,,,,,,,,,Timeout after 3240.0s,
94,,,,,,,,,,Timeout after 3240.0s,
95,,,,,,,,,,Timeout after 3240.0s,
96,,,,,,,,,,Timeout after 3240.0s,
97,,,,,,,,,,Timeout after 3240.0s,
98,,,,,,,,,,Timeout after 3240.0s,
99,,,,,,,,,,Timeout after 3240.0s,
100,,,,,,,,,,Timeout after 3240.0s,
101,,,,,,,,,,Timeout after 3240.0s,
102,,,,,,,,,,Timeout after 3240.0s,
103,,,,,,,,,,Timeout after 3240.0s,
104,,,,,,,,,,Timeout after 3240.0s,
105,,,,,,,,,,Timeout after 3240.0s,
106,,,,,,,,,,Timeout after 3240.0s,
107,,,,,,,,,,Timeout after 3240.0s,
108,1111111111,"[0.7439015126248966, 5.489967709019456, 1.3228368947369709, 0.7744526752829534, 4.440270149480294, 0.21283470295517745, 0.9854107044130164, 0.2913055428255832, 0.5417441349258413, 0.08971493042882486, 0.013760773330475966, 0.037981294886668265, 0.019649425535664334, 0.008210938958697055, 0.0353537153079231, 0.012304451071186301, 0.09566104496881356, 0.0023573748649986714, 1.6969722968728682e-09, 0.0027008847934482166, 1.6908350934979666, 1.692229483547723, 1.6921810649477023, 1.6921984852633751, 1.6908927603080572, 1.687454282977572, 1.6908269656520207, 1.6861274421140133, 1.6921261868901265, 1.6909686135886932, 0.0, 0.002485679381877159, 0.002356466076598067, 0.0023995677432758857, 0.00011588614643458281, -0.005805475733045688, -0.00039963300297963497, -0.008601090367213416, 0.002246962197156879, 0.00020750245903298332]",94.44325429850332,0.0,,,,,,Timeout after 3240.0s,"[{""time"": 0.28538460982963443, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111111111"", ""params"": [0.5190696730339932, 7.075858954521583, 0.9166737333177402, 1.0859219137573055, 3.708630050463297, 0.1480632530969837, 0.736331538607173, 0.21599792345080446, 0.4162164462643524, 0.06591269953801902, 0.01647199474511602, 0.0638008179331106, 0.025513301434541356, 0.009161774552040265, 0.058998552623519676, 0.005937668181796924, 0.03357071962929748, 0.0011708471403590536, 8.666093310794718e-05, 0.0013406898973144256, 1.9168572798694776, 1.918179912916118, 1.9181284763600426, 1.9181404333673537, 1.9168938945786433, 1.9139797975701875, 1.9169430400242315, 1.912811511696392, 1.9180728565516734, 1.916978778565045, 0.0, 0.0021310821003488216, 0.0020175685098915226, 0.0020471771369361316, 6.191631358326228e-05, -0.004333494999980952, -0.00012943009090078762, -0.006506144903089692, 0.0019179170908521091, 0.00017077443942565542], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 9.839525429997593, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111011111"", ""params"": [0.7439015125619369, 9.055630297429389, 1.3838422262877836, 1.5880549052458324, 0.0, 0.21283470288062292, 0.9854107043409646, 0.2913055427472309, 0.541744134851615, 0.08971493034779082, 0.015904522581650832, 0.06556976419465223, 0.024522004561383457, 0.008959857657976954, 0.0, 0.012304450874802067, 0.09566104485720646, 0.002357374753835867, 1.2329785158331364e-09, 0.002700884706765233, 1.6908350935192056, 1.6922294835705058, 1.6921810649704114, 1.6921984852860914, 1.6908927603290587, 1.6874542830002943, 1.6908269656746961, 1.6861274421367536, 1.692126186912757, 1.690968613610007, 0.0, 0.0024856793817546615, 0.002356466076472965, 0.0023995677431514068, 0.00011588614644572295, -0.0058054757329814455, -0.00039963300306074706, -0.00860109036707379, 0.002246962197037898, 0.00020750245902576895], ""fun"": 121.62779948997425, ""penalty"": 0, ""total"": 121.62779948997425, ""extra"": {}}}, {""time"": 141.98514974792488, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111111111"", ""params"": [0.7439015126248966, 5.489967709019456, 1.3228368947369709, 0.7744526752829534, 4.440270149480294, 0.21283470295517745, 0.9854107044130164, 0.2913055428255832, 0.5417441349258413, 0.08971493042882486, 0.013760773330475966, 0.037981294886668265, 0.019649425535664334, 0.008210938958697055, 0.0353537153079231, 0.012304451071186301, 0.09566104496881356, 0.0023573748649986714, 1.6969722968728682e-09, 0.0027008847934482166, 1.6908350934979666, 1.692229483547723, 1.6921810649477023, 1.6921984852633751, 1.6908927603080572, 1.687454282977572, 1.6908269656520207, 1.6861274421140133, 1.6921261868901265, 1.6909686135886932, 0.0, 0.002485679381877159, 0.002356466076598067, 0.0023995677432758857, 0.00011588614643458281, -0.005805475733045688, -0.00039963300297963497, -0.008601090367213416, 0.002246962197156879, 0.00020750245903298332], ""fun"": 94.44325429850332, ""penalty"": 0, ""total"": 94.44325429850332, ""extra"": {}}}]"
109,,,,,,,,,,Timeout after 3240.0s,
110,,,,,,,,,,Timeout after 3240.0s,
