instance,generators,cont_params,cost,penalty,job_ind,total_jobs,optimized_bitstrings,total_inner,max_inner,error,history
0,,,,,,,,,,Timeout after 3240.0s,
1,,,,,,,,,,Timeout after 3240.0s,
2,,,,,,,,,,Timeout after 3240.0s,
3,,,,,,,,,,Timeout after 3240.0s,
4,,,,,,,,,,Timeout after 3240.0s,
5,,,,,,,,,,Timeout after 3240.0s,
6,,,,,,,,,,Timeout after 3240.0s,
7,,,,,,,,,,Timeout after 3240.0s,
8,,,,,,,,,,Timeout after 3240.0s,
9,1110011101,"[0.8025116983268036, 2.656609233526172, 0.574823231269961, 0.0, 0.0, 0.4459604497852557, 0.20061543321686073, 0.9847396578144042, 0.0, 2.860787166146299, 0.03512012890386146, 0.03567881426090135, 0.03899778609963468, 0.0, 0.0, 0.015122110751103939, 0.006901242444530708, 0.0846300056751913, 0.0, 0.05300405550700608, 0.9995180875760764, 0.9997962785863715, 0.9999407438087413, 0.999848048454299, 1.000085051037888, 1.001743078714403, 0.9998792915257922, 0.9998621916681625, 0.9999652261692703, 1.0002915238848744, 0.0, 0.0006282730887548932, 0.001077240706062973, 0.0007070261272005471, 0.0016755060274895432, 0.008517266131758029, 0.0007641096024564155, 0.000714260289310439, 0.0009658217545585585, 0.002296578410658671]",21.376219063919343,0.0,,,,,,Timeout after 3240.0s,"[{""time"": 0.20028253109194338, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111111111"", ""params"": [0.8639661393469634, 2.1640510029357096, 0.41127118675315705, 0.08389819639535523, 0.42946652382277506, 0.32768781543698644, 0.13376937026917532, 1.3660048078538847, 0.5863072314645436, 2.157896549856499, 0.015562770899115189, 0.02938890883731722, 0.01746266999247214, 0.000931155442345461, 0.025510827435167492, 0.014333562365450556, 0.006772402974538627, 0.05917168132743621, 0.02212069387271987, 0.07095674756384003, 1.0404096549420008, 1.0406768975136054, 1.0409425419662641, 1.0407901939822015, 1.040653964834028, 1.0420589425679458, 1.0406076687680172, 1.0407502412904208, 1.0409664063295636, 1.0407848016650034, 0.0, 0.000579869597955384, 0.001178241985164848, 0.0007762571430831396, 0.0004620348339215445, 0.005798007878929921, 0.00036200452939386796, 0.0006311168600115551, 0.001143719151245925, 0.0007696932071871047], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 431.15731412218884, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111011101"", ""params"": [0.7879606993943652, 2.61769699642327, 0.5748232312698102, 0.11788249098843698, 0.0, 0.4459604497842599, 0.20061543321656491, 0.9704723580796125, 0.0, 2.810443945729674, 0.03512012707829437, 0.03553650316018843, 0.03899771148439758, 0.0019838790608604035, 0.0, 0.015050171933376285, 0.006886113524776819, 0.08254941860949169, 0.0, 0.05258157864256496, 0.9995173098800322, 0.9997955011070868, 0.9999392711240865, 0.9998503671904344, 1.000071612293636, 1.0016929597502808, 0.9998745809747264, 0.999886665650649, 0.9999637197256638, 1.0002735808635166, 0.0, 0.0006282740661660926, 0.001079040159213131, 0.0007215511131357895, 0.0016314297634003343, 0.008326441623439753, 0.0007623834755860721, 0.0007913707847314978, 0.0009734655777657083, 0.0022352512184632494], ""fun"": 22.271648871109072, ""penalty"": 0, ""total"": 22.271648871109072, ""extra"": {}}}, {""time"": 1773.812185508199, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1110011101"", ""params"": [0.8025116983268036, 2.656609233526172, 0.574823231269961, 0.0, 0.0, 0.4459604497852557, 0.20061543321686073, 0.9847396578144042, 0.0, 2.860787166146299, 0.03512012890386146, 0.03567881426090135, 0.03899778609963468, 0.0, 0.0, 0.015122110751103939, 0.006901242444530708, 0.0846300056751913, 0.0, 0.05300405550700608, 0.9995180875760764, 0.9997962785863715, 0.9999407438087413, 0.999848048454299, 1.000085051037888, 1.001743078714403, 0.9998792915257922, 0.9998621916681625, 0.9999652261692703, 1.0002915238848744, 0.0, 0.0006282730887548932, 0.001077240706062973, 0.0007070261272005471, 0.0016755060274895432, 0.008517266131758029, 0.0007641096024564155, 0.000714260289310439, 0.0009658217545585585, 0.002296578410658671], ""fun"": 21.376219063919343, ""penalty"": 0, ""total"": 21.376219063919343, ""extra"": {}}}]"
