instance,generators,cont_params,cost,penalty,job_ind,total_jobs,optimized_bitstrings,avg_inner,max_inner,error,history
50,1111110110101,"[0.18859333782430798, 1.072369946888145, 0.6900894499732108, 0.5807320581982823, 1.1398856317005148, 0.1543533808351218, 0.0, 0.7729287299616869, 0.20967459759804985, 0.0, 0.7660821865028207, 0.0, 1.5798754703124722, 4.59501287124092e-10, 4.593442910926064e-10, 5.600854631254328e-10, 0.00874251879843788, 0.1477819790871484, 0.014716520990529097, 0.0, 0.020983483335855403, 0.007406129676178821, 0.0, 4.317888199572227e-10, 0.0, 0.1969867589715451, 1.0093480189719108, 1.008511559075862, 1.0068774291985878, 0.9916436084214956, 0.9918366275864052, 0.9915226180123698, 0.9913802406354774, 1.009438109228093, 1.0073056377160046, 0.9911017205493906, 1.009687625356001, 0.991450653635337, 1.0073671076395865, 0.0, -0.005945826484717598, -0.02753219362130689, -0.07250808450625262, -0.07279363152584482, -0.07338909740801867, -0.07359573439528792, 0.00044820245051657964, -0.02754842492543519, -0.07451783163423392, 0.0013001919419785637, -0.07340928584625117, -0.027545245827701077]",21.113194952766825,0.0,,,,,,Timeout after 1800s,"[{""time"": 130.83267152193002, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111111110111"", ""params"": [0.1885933377589215, 0.9029924731418877, 0.6733238194472257, 0.5807320581921627, 0.7029825859046686, 0.15435338082753147, 0.2712060049772279, 0.7729287299451912, 0.20967459759260096, 0.0, 0.7484635618907918, 0.37017498991922565, 1.5798754703081195, 4.933771646185828e-10, 4.924669785275811e-10, 5.966915306011162e-10, 0.008742518777521234, 0.1477819790679525, 0.014716520971317893, 0.0006213775855653371, 0.0002489570568208297, 0.0004719601940361327, 0.0, 4.6389394364121795e-10, 0.023134771594381025, 0.19698675384240938, 1.0089007601295021, 1.0082025603104339, 1.0069095598334998, 0.9916850645334191, 0.9917024425453591, 0.9914291093249985, 0.9913986912770664, 1.0089837907592913, 1.0075063965928215, 0.9911268313803978, 1.0092268526281896, 0.9914801368591553, 1.0074997359014377, 0.0, -0.0050390349038829715, -0.02321791845563386, -0.06969709552742326, -0.07055006431565626, -0.07105354456240094, -0.07096130807949715, 0.0004150947689857532, -0.022225178636873434, -0.0718618688758484, 0.001248438358118855, -0.07074240687420716, -0.02239516137609178], ""fun"": 22.102843740015107, ""penalty"": 0, ""total"": 22.102843740015107, ""extra"": {}}}, {""time"": 1116.599661983084, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111110110101"", ""params"": [0.18859333782430798, 1.072369946888145, 0.6900894499732108, 0.5807320581982823, 1.1398856317005148, 0.1543533808351218, 0.0, 0.7729287299616869, 0.20967459759804985, 0.0, 0.7660821865028207, 0.0, 1.5798754703124722, 4.59501287124092e-10, 4.593442910926064e-10, 5.600854631254328e-10, 0.00874251879843788, 0.1477819790871484, 0.014716520990529097, 0.0, 0.020983483335855403, 0.007406129676178821, 0.0, 4.317888199572227e-10, 0.0, 0.1969867589715451, 1.0093480189719108, 1.008511559075862, 1.0068774291985878, 0.9916436084214956, 0.9918366275864052, 0.9915226180123698, 0.9913802406354774, 1.009438109228093, 1.0073056377160046, 0.9911017205493906, 1.009687625356001, 0.991450653635337, 1.0073671076395865, 0.0, -0.005945826484717598, -0.02753219362130689, -0.07250808450625262, -0.07279363152584482, -0.07338909740801867, -0.07359573439528792, 0.00044820245051657964, -0.02754842492543519, -0.07451783163423392, 0.0013001919419785637, -0.07340928584625117, -0.027545245827701077], ""fun"": 21.113194952766825, ""penalty"": 0, ""total"": 21.113194952766825, ""extra"": {}}}]"
51,,,,,,,,,,Timeout after 1800s,
52,,,,,,,,,,Timeout after 1800s,
53,,,,,,,,,,Timeout after 1800s,
54,,,,,,,,,,Timeout after 1800s,
55,,,,,,,,,,Timeout after 1800s,
56,,,,,,,,,,Timeout after 1800s,
57,,,,,,,,,,Timeout after 1800s,
58,,,,,,,,,,Timeout after 1800s,
59,0110001011001,"[0.0, 0.7777815953639152, 0.7280044112823042, 0.0, 0.0, 0.0, 0.679898132264335, 0.0, 1.4802322711203701, 2.1490798420015182, 0.0, 0.0, 0.29797804808119555, 0.0, 0.024134388211581193, 0.04347229892585615, 0.0, 0.0, 0.0, 0.054803791258376824, 0.0, 0.07088175684294513, 1.3306682595170069e-08, 0.0, 0.0, 0.029079646904833032, 1.0631553847093351, 1.0597592585391, 1.0615724207088568, 1.0613868385122966, 1.0613902849686885, 1.0594572997663456, 1.0632284692200398, 1.0631681274908023, 1.0624697743429077, 1.0633414739349456, 1.0634641889022152, 1.0631190372547081, 1.0597795224466575, 0.0, -0.01194426980673805, -0.004282365919319722, -0.005988796579985317, -0.006013461725735472, -0.013118841445158996, 0.0005602839147215185, 2.6322752171748934e-05, -0.0015031609215524879, 0.0005861373186059884, 0.0010256831378474842, -4.207946752816841e-05, -0.011819686114415839]",15.93429867177609,0.0,,,,,,Timeout after 1800s,"[{""time"": 563.7250920541119, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""0110011011001"", ""params"": [0.0, 0.7777815952828142, 0.7280044112006853, 0.0, 0.0, 0.031164067244384617, 0.6798981321825001, 0.0, 1.4490584918003107, 2.1490798414574743, 0.0, 0.0, 0.29797804800023586, 0.0, 0.0241343881428897, 0.04347229885606749, 0.0, 0.0, 0.0026063758072013203, 0.054803793536673515, 0.0, 0.06824065612615995, 1.2136682614315836e-08, 0.0, 0.0, 0.029079646827356417, 1.063155312300774, 1.059759258601235, 1.061572420771918, 1.061386838574704, 1.061390285031142, 1.0594572998284988, 1.0632252832271554, 1.0631681632942176, 1.062469774406464, 1.0633376375971682, 1.0634610036163632, 1.0631187813717358, 1.0597795225087916, 0.0, -0.011944130835921935, -0.0042822269486783365, -0.005988657609655254, -0.006013322755366964, -0.013118702474204888, 0.0005523261952005288, 2.6510959415883272e-05, -0.0015030219509423832, 0.000576736955476983, 0.001017728206883389, -4.2560754614405663e-05, -0.011819547143614327], ""fun"": 16.888378791274565, ""penalty"": 0, ""total"": 16.888378791274565, ""extra"": {}}}, {""time"": 1933.5270876470022, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""0110001011001"", ""params"": [0.0, 0.7777815953639152, 0.7280044112823042, 0.0, 0.0, 0.0, 0.679898132264335, 0.0, 1.4802322711203701, 2.1490798420015182, 0.0, 0.0, 0.29797804808119555, 0.0, 0.024134388211581193, 0.04347229892585615, 0.0, 0.0, 0.0, 0.054803791258376824, 0.0, 0.07088175684294513, 1.3306682595170069e-08, 0.0, 0.0, 0.029079646904833032, 1.0631553847093351, 1.0597592585391, 1.0615724207088568, 1.0613868385122966, 1.0613902849686885, 1.0594572997663456, 1.0632284692200398, 1.0631681274908023, 1.0624697743429077, 1.0633414739349456, 1.0634641889022152, 1.0631190372547081, 1.0597795224466575, 0.0, -0.01194426980673805, -0.004282365919319722, -0.005988796579985317, -0.006013461725735472, -0.013118841445158996, 0.0005602839147215185, 2.6322752171748934e-05, -0.0015031609215524879, 0.0005861373186059884, 0.0010256831378474842, -4.207946752816841e-05, -0.011819686114415839], ""fun"": 15.93429867177609, ""penalty"": 0, ""total"": 15.93429867177609, ""extra"": {}}}]"
60,,,,,,,,,,Timeout after 1800s,
61,,,,,,,,,,Timeout after 1800s,
62,,,,,,,,,,Timeout after 1800s,
63,,,,,,,,,,Timeout after 1800s,
64,,,,,,,,,,Timeout after 1800s,
65,,,,,,,,,,Timeout after 1800s,
66,,,,,,,,,,Timeout after 1800s,
67,,,,,,,,,,Timeout after 1800s,
68,,,,,,,,,,Timeout after 1800s,
69,,,,,,,,,,Timeout after 1800s,
70,,,,,,,,,,Timeout after 1800s,
71,,,,,,,,,,Timeout after 1800s,
72,,,,,,,,,,Timeout after 1800s,
73,,,,,,,,,,Timeout after 1800s,
74,,,,,,,,,,Timeout after 1800s,
75,,,,,,,,,,Timeout after 1800s,
76,,,,,,,,,,Timeout after 1800s,
77,,,,,,,,,,Timeout after 1800s,
78,,,,,,,,,,Timeout after 1800s,
79,,,,,,,,,,Timeout after 1800s,
80,,,,,,,,,,Timeout after 1800s,
81,,,,,,,,,,Timeout after 1800s,
82,,,,,,,,,,Timeout after 1800s,
83,,,,,,,,,,Timeout after 1800s,
84,,,,,,,,,,Timeout after 1800s,
85,1010001100010,"[3.081369182084976, 0.0, 1.0124513818632268, 0.0, 0.0, 0.0, 1.6585833133662875, 3.435613959271073, 0.0, 0.0, 0.0, 3.337713059795298, 0.0, 0.2931156599799057, 0.0, 0.06674949406483686, 0.0, 0.0, 0.0, 0.11707081953909981, 0.32441842468933085, 0.0, 0.0, 0.0, 0.12855930141954247, 0.0, 4.857913879989087, 4.85761440744191, 4.857928543638365, 4.8492618647425925, 4.692767846297385, 4.857854327767714, 4.692749356271781, 4.857599431526686, 4.857608275597334, 4.857619312639621, 4.850652804879221, 4.858079210019347, 4.857620568007452, 0.0, -0.00018113317420849124, 5.274430174793862e-06, -0.004834683748715096, -0.0826442793760115, -3.266388723617779e-05, -0.08266445280733019, -0.00018451259021627945, -0.00018584745949334425, -0.00017895980855672325, -0.002625357325837699, 7.404813643463598e-05, -0.00018179457114249527]",1939.1507701965804,0.0,,,,,,Timeout after 1800s,"[{""time"": 0.3531759928446263, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111111111111"", ""params"": [3.2170625165882307, 0.2524122662850716, 0.7382618708768819, 0.1466797669505386, 0.18009757272909582, 0.5758183902322904, 1.1030602807568948, 2.19681752832602, 0.6129668677333329, 0.23863972550683932, 0.2681751449516656, 2.753594658636525, 0.1420264636407864, 0.1873504908115354, 0.018268906948639134, 0.03522509284846885, 0.007650714428246987, 0.005156312920018902, 0.0007968472183363223, 0.06486847767151487, 0.21186166877594206, 0.030753907905292813, 0.008461495614377819, 0.003938607105526279, 0.07197568531893271, 0.0046983708560297335, 7.232386583827857, 7.23222155056273, 7.232336767400633, 7.227737085668162, 7.136927085972334, 7.232329184024713, 7.136943245811508, 7.232214156295139, 7.232193089105014, 7.232232387521474, 7.228291308144196, 7.232416415834327, 7.232220590704744, 0.0, -8.128323823292269e-05, -1.9025911731292038e-05, -0.002090914473045823, -0.034289979187331385, -2.653227870686999e-05, -0.03427741703139156, -8.082808399884777e-05, -9.383817969141005e-05, -7.829428138573655e-05, -0.0011247349538403301, 6.35645701208307e-06, -8.386130145724243e-05], ""fun"": 1000000000.0, ""penalty"": 0, ""total"": 1000000000.0, ""extra"": {}}}, {""time"": 48.57943911082111, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1111110110101"", ""params"": [4.991068608933753, 0.3587968841366868, 1.0124513818632548, 0.20920900090338046, 0.25031656507468897, 0.7891410734896297, 0.0, 3.43561395931892, 0.856417872618733, 0.0, 0.3876478047588234, 0.0, 0.19712451024897232, 0.2931156599799063, 0.03568161178932217, 0.06674949406483746, 0.015603706131292205, 0.010733575346547595, 0.0019201657257200695, 0.0, 0.32441842468933146, 0.05862365024292616, 0.0, 0.008196136101219005, 0.0, 0.009640962561782236, 5.023552226493548, 5.023344726716883, 5.023108405456713, 5.016904647543591, 4.882948806922004, 5.0233455782003915, 4.8829929761827255, 5.023325434947564, 5.02331841294707, 5.023364190216968, 5.017936261944443, 5.023097163272458, 5.023346780910622, 0.0, -0.00014487077003748572, -0.00025574271351710775, -0.00390158576954651, -0.06998624008300926, -0.00017418546743385905, -0.06994181806628189, -0.0001498878524120024, -0.0001602911092751889, -0.0001370967085442728, -0.0020467221819901555, -0.0002599786798143291, -0.0001473096739261834], ""fun"": 2120.9485522422156, ""penalty"": 0, ""total"": 2120.9485522422156, ""extra"": {}}}, {""time"": 50.704341030912474, ""job_ind"": null, ""optimizer_stats"": {}, ""result"": {""generator_statuses"": ""1010001100010"", ""params"": [3.081369182084976, 0.0, 1.0124513818632268, 0.0, 0.0, 0.0, 1.6585833133662875, 3.435613959271073, 0.0, 0.0, 0.0, 3.337713059795298, 0.0, 0.2931156599799057, 0.0, 0.06674949406483686, 0.0, 0.0, 0.0, 0.11707081953909981, 0.32441842468933085, 0.0, 0.0, 0.0, 0.12855930141954247, 0.0, 4.857913879989087, 4.85761440744191, 4.857928543638365, 4.8492618647425925, 4.692767846297385, 4.857854327767714, 4.692749356271781, 4.857599431526686, 4.857608275597334, 4.857619312639621, 4.850652804879221, 4.858079210019347, 4.857620568007452, 0.0, -0.00018113317420849124, 5.274430174793862e-06, -0.004834683748715096, -0.0826442793760115, -3.266388723617779e-05, -0.08266445280733019, -0.00018451259021627945, -0.00018584745949334425, -0.00017895980855672325, -0.002625357325837699, 7.404813643463598e-05, -0.00018179457114249527], ""fun"": 1939.1507701965804, ""penalty"": 0, ""total"": 1939.1507701965804, ""extra"": {}}}]"
86,,,,,,,,,,Timeout after 1800s,
87,,,,,,,,,,Timeout after 1800s,
88,,,,,,,,,,Timeout after 1800s,
89,,,,,,,,,,Timeout after 1800s,
90,,,,,,,,,,Timeout after 1800s,
91,,,,,,,,,,Timeout after 1800s,
92,,,,,,,,,,Timeout after 1800s,
93,,,,,,,,,,Timeout after 1800s,
94,,,,,,,,,,Timeout after 1800s,
95,,,,,,,,,,Timeout after 1800s,
96,,,,,,,,,,Timeout after 1800s,
97,,,,,,,,,,Timeout after 1800s,
98,,,,,,,,,,Timeout after 1800s,
99,,,,,,,,,,Timeout after 1800s,
100,,,,,,,,,,Timeout after 1800s,
101,,,,,,,,,,Timeout after 1800s,
102,,,,,,,,,,Timeout after 1800s,
103,,,,,,,,,,Timeout after 1800s,
104,,,,,,,,,,Timeout after 1800s,
105,,,,,,,,,,Timeout after 1800s,
106,,,,,,,,,,Timeout after 1800s,
107,,,,,,,,,,Timeout after 1800s,
108,,,,,,,,,,Timeout after 1800s,
109,,,,,,,,,,Timeout after 1800s,
110,,,,,,,,,,Timeout after 1800s,
111,,,,,,,,,,Timeout after 1800s,
112,,,,,,,,,,Timeout after 1800s,
113,,,,,,,,,,Timeout after 1800s,
114,,,,,,,,,,Timeout after 1800s,
115,,,,,,,,,,Timeout after 1800s,
116,,,,,,,,,,Timeout after 1800s,
117,,,,,,,,,,Timeout after 1800s,
118,,,,,,,,,,Timeout after 1800s,
119,,,,,,,,,,Timeout after 1800s,
